



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
4943590;"Fundación Baloncesto Español";"Fines: el fomento del baloncesto, persiguiendo como fines principales la financiación y desarrollo de actividades relacionadas con el mismo, especialmente orientadas a la formación de jugadores, técnicos y árbitros.";"";"";"Metro: Bambú (línea 1)  Bus: 14, 16, 129 , 150 , 171, 174";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=773b599bd9b9a110VgnVCM2000000c205a0aRCRD";"BURGOS";"AVENIDA";"V";"8";"3";"";"";"";"MADRID";"MADRID";"28036";"CASTILLA";"CHAMARTIN";"442870";"4480713";"40.473256132762415";"-3.675256329146547";"913 832 050";"";"admon@feb.tiscalibiz.com";"/contenido/entidadesYorganismos/FundacionesCulturales"; 
141752;"Fundación Belén";"Fines:  proporcionar información sobre las disponibilidades educativas, culturales, sanitarias, psicológicas, deportivas y financieras existentes en España, tanto en el ámbito público como privado, para familias con hijos con problemas físicos y psíquicos.";"";"Voluntariado: educativo - salud - social - tareas administrativas";"Metro: Iglesia (línea 1)  Bus: 3, 5, 7, 16, 37, 40, 61,  149";"Prestaciones:  información, orientación y asesoramiento.   Sector atendidos:  jóvenes - niños";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9b47ba61e681c010VgnVCM1000000b205a0aRCRD";"PINTOR SOROLLA";"GLORIETA";"NUM";"4";"7º";"Izq.";"";"";"MADRID";"MADRID";"28010";"ALMAGRO";"CHAMBERI";"440864";"4476504";"40.435199012886066";"-3.6985265625264914";"914 483 940 ";"";"info@fundacionbelen.org";"/contenido/entidadesYorganismos/FundacionesSanitarias"; 
12758;"Fundación Coca Cola Juan Manuel Sainz de Vicuña";"Fines:  Promoción y fomento de las Bellas Artes, de la mejora del medio ambiente y del progreso de la ciencia. El fomento de actividades de tipo humanitario y de investigación, particularmente en áreas relacionadas con promoción de la vida activa, la nutrición y la salud.";"";"";"Metro: Campo de las Naciones (línea 8)  Bus: 104";"Coca Cola de España S.A.";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=09927d448b51c010VgnVCM2000000c205a0aRCRD";"RIBERA DEL LOIRA";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28042";"CORRALEJOS";"BARAJAS";"447219";"4479805";"40.465364718938055";"-3.623878781441066";"913 481 700";"913 481 701";"";"/contenido/entidadesYorganismos/FundacionesSanitarias"; 
4164;"Fundación Comité Olímpico Español";"Fines:  Fomento, impulso, desarrollo, protección y apoyo de las actividades que desarrolla el Comité Olímpico Español";"";"";"Metro: Mar de Cristal (líneas 4 y 8)  Bus: 104";"Fundadores el Comité Olímpico Español";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e4bb0c40971c010VgnVCM1000000b205a0aRCRD";"AREQUIPA";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28043";"PINAR DEL REY";"HORTALEZA";"446346";"4480181";"40.46869588603971";"-3.634207569525505";"913 815 500";"913 819 639";"correo@coe.es";"/contenido/entidadesYorganismos/FundacionesCulturales"; 
4252;"Fundación del Fútbol Profesional";"Fuente:  la promoción, fomento, financiación y desarrollo de actividades relacionadas con la cultura física y el deporte del fútbol, a través de concesión de becas y ayudas para estudio, formación e investigación, cursos, exposiciones, concursos artísticos, etc.";"";"";"Bus: 11, 21, 70, 114, 115, 200";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a0cb0c40971c010VgnVCM1000000b205a0aRCRD";"HERNANDEZ DE TEJADA";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28027";"SAN PASCUAL";"CIUDAD LINEAL";"444948";"4477808";"40.447227044276445";"-3.6504913598835316";"912 055 030";"914 080 828";"odelafuente@lfp.es";"/contenido/entidadesYorganismos/FundacionesDeportivas"; 







